Hotel_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
509,Sao Felix Do Xingu,BR,71.91,overcast clouds,-6.6447,-51.995,Hotel Terraço
510,Nouadhibou,MR,67.98,few clouds,20.931,-17.0347,Hotel valencia
514,Guayaquil,EC,77.95,scattered clouds,-2.1667,-79.9,Courtyard Marriott Hotel
517,Pasighat,IN,66.02,clear sky,28.0667,95.3333,Aane Hotel
519,Pisco,PE,68.05,clear sky,-13.7,-76.2167,La Portada
520,That Phanom,TH,75.22,few clouds,16.9364,104.7104,Pornnarumitr Hotel
521,Isangel,VU,86.11,overcast clouds,-19.55,169.2667,Tanna Lodge
526,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,The Adventures Inn
532,Sakhon Nakhon,TH,75.15,clear sky,17.1612,104.1472,Imperial Sakon Hotel
535,Lhokseumawe,ID,75.33,overcast clouds,5.1801,97.1507,Vina Vira Hotel
536,Sechura,PE,68.18,overcast clouds,-5.5569,-80.8222,Hospedaje Claritza
542,Bowen,AU,83.95,broken clouds,-20.0167,148.2333,Whitsunday Sands Resort
547,Tainan,TW,76.78,scattered clouds,22.9908,120.2133,光華商務飯店
558,Boffa,GN,77.5,few clouds,10.1667,-14.0333,Cité Bagataye
588,Kawalu,ID,78.93,broken clouds,-7.3817,108.2082,Hotel Surya
591,Camopi,GF,71.38,broken clouds,3.1655,-52.3158,Chez Lucia
592,Beira,MZ,78.03,overcast clouds,-19.8436,34.8389,Hotel Savoy
599,Nova Olimpia,BR,76.26,overcast clouds,-14.7972,-57.2881,Olímpia Hotel
616,Altagracia De Orituco,VE,68.68,scattered clouds,9.8601,-66.3814,Hotel El Canastro
623,Jacareacanga,BR,75.97,broken clouds,-6.2222,-57.7528,Hotel São Cristovão
628,Aguimes,ES,66.83,broken clouds,27.9054,-15.4461,Hotel Villa de Agüimes
631,Chake Chake,TZ,76.01,scattered clouds,-5.2459,39.7666,Annex Pemba Hotel
638,Whyalla,AU,90.43,clear sky,-33.0333,137.5833,Whyalla Playford Apartments
646,Pak Phanang,TH,78.82,light rain,8.3511,100.202,Pak Phanang Hotel
649,San Miguel,SV,76.96,overcast clouds,13.4833,-88.1833,Continental Plaza Hotel
652,Ocala,US,65.97,scattered clouds,29.1872,-82.1401,Hilton Garden Inn
653,Labuan,MY,75.56,light rain,5.2767,115.2417,Labuan Avenue Hotel
663,Ojinaga,MX,69.57,clear sky,29.5667,-104.4167,Hotel
671,Zarate,AR,72.91,light rain,-34.0981,-59.0286,Naciones Hotel
673,Jawhar,SO,74.35,overcast clouds,2.7809,45.5005,Hotel Subiye
679,Teacapan,MX,72.3,clear sky,22.55,-105.75,illas y Hotel Maria Fernanda
680,Cayenne,GF,75.24,broken clouds,4.9333,-52.3333,Central Hôtel
686,Sao Jose Da Coroa Grande,BR,78.19,broken clouds,-8.8978,-35.1478,Hotel do Sol
