City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
133,Vila,PT,42.0304,-8.1588,39.7,87,100,4.65,overcast clouds
134,Port Macquarie,AU,-31.4333,152.9167,69.89,76,99,2.13,overcast clouds
135,Saldanha,ZA,-33.0117,17.9442,62.91,88,0,5.57,clear sky
136,Kenai,US,60.5544,-151.2583,15.15,80,0,0.0,mist
137,Skibbereen,IE,51.55,-9.2667,35.44,70,44,3.8,scattered clouds
138,New Norfolk,AU,-42.7826,147.0587,63.88,41,99,2.86,overcast clouds
139,Bontang,ID,0.1333,117.5,81.88,75,99,5.59,overcast clouds
140,Stepnoye,RU,51.4,46.8667,18.09,61,51,14.74,broken clouds
141,Tolbazy,RU,54.0241,55.8825,-2.36,87,97,8.21,overcast clouds
142,Nzerekore,GN,7.7562,-8.8179,70.09,72,49,0.76,scattered clouds
143,Kolondieba,ML,11.0882,-6.8926,72.66,26,0,3.85,clear sky
144,Buala,SB,-8.145,159.5921,83.71,75,96,4.29,light rain
145,Baruun-Urt,MN,46.6806,113.2792,3.06,72,1,9.93,clear sky
146,Arman,RU,59.7,150.1667,-1.68,92,100,6.08,overcast clouds
147,Srednekolymsk,RU,67.45,153.6833,-38.51,97,97,7.47,overcast clouds
148,Rocha,UY,-34.4833,-54.3333,69.8,90,100,6.29,overcast clouds
149,Tabat,ID,-2.635,115.2274,88.59,54,93,1.34,overcast clouds
150,Seydi,TM,39.4816,62.9137,21.06,46,0,13.09,clear sky
151,Cherskiy,RU,68.75,161.3,-25.96,100,84,1.88,broken clouds
152,Ballina,AU,-28.8667,153.5667,74.01,81,69,6.38,broken clouds
153,The Valley,AI,18.217,-63.0578,77.83,64,0,7.92,clear sky
154,Artigas,UY,-30.4,-56.4667,88.88,21,100,15.12,overcast clouds
155,Panorama,GR,40.5878,23.0315,57.78,94,75,2.3,broken clouds
156,Custodia,BR,-8.0875,-37.6431,77.31,62,100,14.38,overcast clouds
157,Barahan,PH,13.0121,120.762,79.77,80,100,0.69,light rain
